Edge Label, Good, Fisher Prices, New Prices, Capacity
e361: V004_6_dep, V006_34_arr, 0.0, 0.0, 5.0

e362: V004_6_dep, V007_45_arr, 0.0, 0.0, 5.0

e363: V004_6_arr, V004_6, 0.0, 0.0, 1.0

e364: V004_7, V004_7_dep, 0.0, 0.0, 5.0

e365: V004_7, V004_8, 0.0, 0.0, 8.0

e366: V005_6_dep, V001_27_arr, 0.0, 0.0, 4.0

e367: V005_6_dep, V002_27_arr, 0.0, 0.0, 2.0

e368: V005_6_dep, V003_30_arr, 0.0, 0.0, 2.0

e369: V005_6_dep, V004_34_arr, 0.0, 0.0, 3.0

e370: V005_6_dep, V006_21_arr, 0.0, 0.0, 2.0

e371: V005_6_dep, V007_56_arr, 0.0, 0.0, 4.0

e372: V005_6_arr, V005_6, 0.0, 0.0, 1.0

e373: V005_7, V005_7_dep, 0.0, 0.0, 5.0

e374: V005_7, V005_8, 0.0, 0.0, 8.0

e375: V006_6_dep, V001_27_arr, 0.0, 0.0, 5.0

e376: V006_6_dep, V002_30_arr, 0.0, 0.0, 2.0

e377: V006_6_dep, V003_28_arr, 0.0, 0.0, 3.0

e378: V006_6_dep, V004_34_arr, 0.0, 0.0, 2.0

e379: V006_6_dep, V005_21_arr, 0.0, 0.0, 2.0

e380: V006_6_dep, V007_66_arr, 0.0, 0.0, 4.0

e381: V006_6_arr, V006_6, 0.0, 0.0, 1.0

e382: V006_7, V006_7_dep, 0.0, 0.0, 2.0

e383: V006_7, V006_8, 0.0, 0.0, 8.0

e384: V007_6_dep, V001_48_arr, 0.0, 0.0, 2.0

e385: V007_6_dep, V002_44_arr, 0.0, 0.0, 3.0

e386: V007_6_dep, V003_50_arr, 0.0, 0.0, 2.0

e387: V007_6_dep, V004_45_arr, 0.0, 0.0, 4.0

e388: V007_6_dep, V005_56_arr, 0.0, 0.0, 3.0

e389: V007_6_dep, V006_66_arr, 0.0, 0.0, 5.0

e390: V007_6_arr, V007_6, 0.0, 0.0, 2.0

e391: V007_7, V007_7_dep, 0.0, 0.0, 2.0

e392: V007_7, V007_8, 0.0, 0.0, 8.0

e393: V001_7_dep, V002_12_arr, 0.0, 0.0, 3.0

e394: V001_7_dep, V003_11_arr, 0.0, 0.0, 2.0

e395: V001_7_dep, V004_15_arr, 0.0, 0.0, 3.0

e396: V001_7_dep, V005_28_arr, 0.0, 0.0, 4.0

e397: V001_7_dep, V006_28_arr, 0.0, 0.0, 2.0

e398: V001_7_dep, V007_49_arr, 0.0, 0.0, 4.0

e399: V001_7_arr, V001_7, 0.0, 0.0, 1.0

e400: V001_8, V001_8_dep, 0.0, 0.0, 5.0

e401: V001_8, V001_9, 0.0, 0.0, 8.0

e402: V002_7_dep, V001_12_arr, 0.0, 0.0, 3.0

e403: V002_7_dep, V003_15_arr, 0.0, 0.0, 2.0

e404: V002_7_dep, V004_16_arr, 0.0, 0.0, 4.0

e405: V002_7_dep, V005_28_arr, 0.0, 0.0, 3.0

e406: V002_7_dep, V006_31_arr, 0.0, 0.0, 2.0

e407: V002_7_dep, V007_45_arr, 0.0, 0.0, 2.0

e408: V002_7_arr, V002_7, 0.0, 0.0, 2.0

e409: V002_8, V002_8_dep, 0.0, 0.0, 2.0

e410: V002_8, V002_9, 0.0, 0.0, 8.0

e411: V003_7_dep, V001_11_arr, 0.0, 0.0, 3.0

e412: V003_7_dep, V002_15_arr, 0.0, 0.0, 2.0

e413: V003_7_dep, V004_14_arr, 0.0, 0.0, 3.0

